"Cron (Scheduled Tasks) - all the times are in minutes","Cron (計劃任務) – 時間單位為分鐘"
"Daily","每日"
"Failure history lifetime","失敗記錄時間"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","為了在cron運行過程中產生正確的網址，請確認網絡 > 安全和不安全基準網址已設置。"
"Generate schedules every","產生時間表每"
"History cleanup every","清除記錄每"
"Invalid callback: %s::%s does not exist","錯誤的回叫接口: %s::%s 不存在"
"Invalid model/method definition, expecting ""model/class::method"".","錯誤的 model/method 定義，正確格式為 ""model/class::method""."
"Missed if not run within","錯過如果不運行於"
"Monthly","每月"
"No callbacks found","未發現回叫接口"
"Schedule ahead for","計劃提前"
"Success history lifetime","成功記錄時間"
"Too late for the schedule","計劃來不及執行"
"Unable to save Cron expression","無法保存Cron的表達式"
"Unknown error","未知錯誤"
"Weekly","每週"
