"All Websites","所有網站"
"Apply Percent Discounts To FPT","應用折扣到商品固定稅"
"Apply Tax To FPT","應用稅率於商品固定稅（FPT）"
"Display Prices In Emails","於郵件中顯示價格"
"Display Prices In Product Lists","於商品列表中顯示價格"
"Display Prices In Sales Modules","於銷售模塊中顯示價格"
"Display Prices On Product View Page","在商品查看頁面顯示價格"
"Enable FPT","啟動商品固定稅（FPT）"
"Excluding FPT","不含商品固定稅（FPT）"
"Excluding FPT, FPT description, final price","含商品固定稅（FPT）, 說明及最終價格"
"Fixed Product Tax","商品固定稅"
"Fixed Product Taxes","商品固定稅"
"Include FPT In Subtotal","小計中包含商品固定稅"
"Including FPT and FPT description [excl. FPT VAT]","包含商品固定稅和商品固定稅描述 [不包含商品固定稅增值稅]"
"Including FPT and FPT description [incl. FPT VAT]","I包括商品固定稅（FPT）及描述 [包含商品固定稅增值稅]"
"Including FPT only","只含商品固定稅"
"Total","總額"
"Total incl. tax","含稅總額"
